,Satellite ID(Fake),"Name of Satellite, Alternate Names",Current Official Name of Satellite,Country/Org of UN Registry,Country of Operator/Owner,Operator/Owner,Users,Purpose,Detailed Purpose,Class of Orbit,Type of Orbit,Longitude of GEO (degrees),Perigee (km),Apogee (km),Eccentricity,Inclination (degrees),Period (minutes),Launch Mass (kg.),Dry Mass (kg.),Power (watts),Date of Launch,Expected Lifetime (yrs.),Contractor,Country of Contractor,Launch Site,Launch Vehicle,COSPAR Number,NORAD Number
14,15,GSAT-15,GSAT-15,India,India,Indian Space Research Organization (ISRO),Government,Communications,,GEO,,93.5,35782,35805,0.000272748,0.1,1436.1,3164,,,1/10/2015,12,Indian Space Research Organization (ISRO),India,Guiana Space Center,Ariane 5,2015-065A,41028
15,16,GSAT-16,GSAT-16,Inda,India,Indian Space Research Organization (ISRO),Government,Communications,,GEO,,55,35776,35798,0.000260929,0.18,1436.1,3181,,,12/6/2014,15,Indian Space Research Organization (ISRO),India,Guiana Space Center,Ariane 5 ECA,2014-078A,40332
16,17,GSAT-17,GSAT-17,India,India,Indian Space Research Organization (ISRO),Government,Communications,,GEO,,93.5,35757,35817,0.000711626,0,1436.1,3477,,,6/28/2017,15,Indian Space Research Organization (ISRO),India,Guiana Space Center,Ariane 5,2017-040B,42815
17,18,GSAT-18,GSAT-18,India,India,Indian Space Research Organization (ISRO),Government,Communications,,GEO,,74,35775,35812,0.000438768,0,1436.1,3404,,,10/5/2016,15,Indian Space Research Organization (ISRO),India,Guiana Space Center,Ariane 5,2016-060A,41793
18,19,GSAT-19E,GSAT-19E,India,India,Indian Space Research Organization (ISRO),Government,Communications,,GEO,,82.5,35777,35795,0.000213493,0,1436.1,3136,,,6/3/2017,10,Indian Space Research Organization (ISRO),India,Satish Dhawan Space Centre,GSLV MK.3,2017-031A,42747
19,20,GSAT-29,GSAT-29,India,India,Indian Space Research Organization (ISRO),Government,Communications,,GEO,,55,37782,37807,0.000283033,0.1,1436.1,3400,,,11/14/2018,10,Indian Space Research Organization (ISRO),India,Satish Dhawan Space Centre,GSLV MK.3,2018-089A,43698
20,21,GSAT-30,GSAT-30,India,India,Indian Space Research Organization (ISRO),Government,Communications,,GEO,,83,35794,35844,0.000592572,0.12,1437.7,3357,,,1/16/2020,15,Indian Space Research Organization (ISRO),India,Guiana Space Center,Ariane 5,2020-005A,45026
21,22,GSAT-31,GSAT-31,India,India,Indian Space Research Organization (ISRO),Government,Communications,,GEO,,48,35774,35799,0.000296514,0.1,1436.1,2536,,4700,2/5/2019,15,Indian Space Research Organization (ISRO),India,Guiana Space Center,Ariane 5,2019-007B,44035
22,23,GSAT-6 (Insat 4-E),GSAT-6,NR,India,Indian Space Research Organization (ISRO),Government/Commercial,Communications,,GEO,,83,35775,35775,0,0,1436.1,2110,980,3100,8/27/2015,12,Indian Space Research Organization (ISRO),India,Satish Dhawan Space Centre,GSLV,2015-041A,40880
23,24,GSAT-8,GSAT-8,India,India,Indian Space Research Organization (ISRO),Government,Communications/Navigation,,GEO,,55,35782,35796,0.000166038,0.09,1436.23,3093,1426,6250,5/20/2011,12,Indian Space Research Organization (ISRO),India,Guiana Space Center,Ariane 5,2011-022A,37605
24,25,HySIS (Hyperspectral Imaging Satellite),HySIS,India,India,Indian Space Research Organization (ISRO),Government,Earth Observation,Hyperspectral Imaging,LEO,Sun-Synchronous,0,647,648,7.13E-05,98,95,380,,,11/29/2018,5,Indian Space Research Organization (ISRO),India,Satish Dhawan Space Centre,PSLV,2018-096A,43719
25,26,INS-1A (ISRO Nano Satellite),INS-1A,India,India,Indian Space Research Organization (ISRO),Government,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0,496,508,0.000873108,97.5,94.6,8.4,,,2/15/2017,,ISRO Satellite Center,India,Satish Dhawan Space Centre,PSLV XL,2017-008B,41949
26,27,INS-1B (ISRO Nano Satellite),INS-1B,India,India,Indian Space Research Organization (ISRO),Government,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0,496,508,0.000873108,97.5,94.6,8,,,2/15/2017,,ISRO Satellite Center,India,Satish Dhawan Space Centre,PSLV XL,2017-008G,41954
27,28,INS-1C (ISRO Nano Satellite),INS-1C,NR,India,Indian Space Research Organization (ISRO),Government,Technology Development,,LEO,Sun-Synchronous,0,495,508,0.000945936,97.5,94.6,5,,,1/11/2018,0.5,ISRO Satellite Center,India,Satish Dhawan Space Centre,PSLV,2018-004F,43116
28,29,INSAT 3D (Indian National Satellite),INSAT 3D,India,India,Indian Space Research Organization (ISRO),Government,Earth Observation,Meteorology,GEO,,82,35782,35791,0.000106745,0.24,1436.09,2090,,,7/25/2013,,ISRO Satellite Center,India,Guiana Space Center,Ariane 5 ECA,2013-038B,39216
29,30,INSAT 3DR (Indian National Satellite),INSAT 3DR,NR,India,Indian Space Research Organization (ISRO),Government,Earth Observation,Meteorology,GEO,,74,35722,35851,0.001530013,0.03,1436.1,2200,,,9/8/2016,10,ISRO Satellite Center,India,Satish Dhawan Space Centre,GSLV Mk.2,2016-054A,41752
